env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_row_owner,26,oversubscription_region,253.2229447,2.146132754,0.08254356747,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,26,oversubscription_region,176.700833,3.075537599,0.1182899077,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,27,oversubscription_region,124.3068477,4.371843272,0.1619201212,PASS,,,14,14,Apple M4 Max,,,,0.0,1.473007586e-16
default,cpu_private_csr,27,oversubscription_region,259.7698747,2.092044185,0.07748311795,PASS,,,14,14,Apple M4 Max,,,,5940475200.0,1.371638282e-16
default,cpu_row_owner,27,oversubscription_region,129.729889,4.189089036,0.1551514458,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,27,oversubscription_region,158.3645693,3.431639147,0.1270977462,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,28,oversubscription_region,138.7859303,3.915743147,0.1398479696,PASS,,,14,14,Apple M4 Max,,,,0.0,1.499723456e-16
default,cpu_private_csr,28,oversubscription_region,545.0301947,0.997100823,0.03561074368,PASS,,,14,14,Apple M4 Max,,,,6160492800.0,1.372569877e-16
default,cpu_row_owner,28,oversubscription_region,143.804139,3.779098845,0.1349678159,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,28,oversubscription_region,146.3875833,3.712405406,0.1325859073,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
bound,cpu_atomic,1,physical_core_region,765.643583,0.7047464142,0.7047464142,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,0.0
bound,cpu_private_csr,1,physical_core_region,583.5493057,0.924659775,0.924659775,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,220017600.0,0.0
bound,cpu_row_owner,1,physical_core_region,629.7109863,0.8568765376,0.8568765376,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,1,physical_core_region,972.2198053,0.5550026514,0.5550026514,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,2,physical_core_region,444.5755137,1.213707352,0.6068536762,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,8.718185024e-18
bound,cpu_private_csr,2,physical_core_region,332.7678333,1.621504592,0.8107522958,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,440035200.0,8.298033569e-18
bound,cpu_row_owner,2,physical_core_region,326.0068193,1.655132769,0.8275663846,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,2,physical_core_region,483.472625,1.116060231,0.5580301156,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,3,physical_core_region,292.6909583,1.843530025,0.6145100083,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.381617302e-17
